LE Ht1 Ht2 Ht3 T1 T2 T3 AVG_AMP LE_DSET
7 11 8 6 0.072 0.183 0.189 8.0 14;
14 10 9 11 0.01 0.083 0.102 11.0 14;
14 10 9 11 0.012 0.131 0.145 11.0 14;
14 10 9 11 0.008 0.077 0.088 11.0 14;
10 14 9 11 0.024 0.133 0.169 11.0 14;
14 10 9 11 0.011 0.091 0.096 11.0 14;
14 10 9 11 0.07 0.81 0.89 11.0 14;
3 4 13 7 0.015 0.067 0.083 6.75 14;
4 3 7 13 0.094 0.094 0.124 6.75 14;
3 4 13 2 0.017 0.108 0.238 5.5 14;
4 1 4 3 0.247 0.561 0.786 3.0 14;
3 4 13 7 0.013 0.077 0.084 6.75 14;
3 4 13 7 0.018 0.114 0.126 6.75 14;
12 11 14 7 0.0 0.54 0.88 11.0 14;
9 15 10 6 0.16 0.26 0.48 10.0 14;
9 10 15 6 0.21 0.28 0.39 10.0 14;
9 15 10 6 0.016 0.027 0.041 10.0 14;
9 15 10 6 0.022 0.032 0.05 10.0 14;
7 9 14 1 0.09 0.412 0.624 7.75 14;
1 13 4 2 0.038 0.099 0.103 5.0 14;
1 13 4 2 0.228 0.254 0.257 5.0 14;
1 13 15 2 0.143 0.158 0.202 7.75 14;
1 15 4 13 0.199 0.21 0.225 8.25 14;
1 13 4 2 0.037 0.092 0.095 5.0 14;
1 13 15 4 0.143 0.164 0.171 8.25 14;
1 13 2 4 0.039 0.099 0.1 5.0 14;
12 1 15 2 0.353 0.427 0.444 7.5 14;
1 15 4 13 0.157 0.2 0.206 8.25 14;
1 13 2 4 0.038 0.09 0.094 5.0 14;
1 13 2 4 0.083 0.169 0.183 5.0 14;
1 15 13 4 0.166 0.207 0.212 8.25 14;
1 15 2 13 0.189 0.212 0.22 7.75 14;
8 7 4 12 0.081 0.179 0.187 7.75 14;
8 7 4 12 0.036 0.09 0.094 7.75 14;
8 7 4 12 0.031 0.09 0.095 7.75 14;
8 7 4 12 0.029 0.092 0.093 7.75 14;
12 11 9 15 0.051 0.339 0.346 11.75 14;
4 1 8 2 0.0 0.0 0.0 3.75 14;
15 8 1 4 0.028 0.039 0.06 7.0 14;
15 1 8 4 0.04 0.1 0.16 7.0 14;
15 1 8 4 0.008 0.019 0.023 7.0 14;
15 1 8 4 0.005 0.017 0.018 7.0 14;
15 1 8 4 0.008 0.013 0.017 7.0 14;
12 8 11 9 0.063 0.11 0.128 10.0 14;
12 8 11 9 0.068 0.113 0.121 10.0 14;
12 8 9 11 0.25 0.252 0.261 10.0 14;
12 8 9 11 0.06 0.127 0.138 10.0 14;
12 8 11 9 0.248 0.259 0.261 10.0 14;
12 8 11 9 0.067 0.109 0.115 10.0 14;
12 11 14 8 0.069 0.099 0.108 11.25 14;
12 11 8 14 0.073 0.109 0.123 11.25 14;
12 11 14 8 0.076 0.102 0.105 11.25 14;
12 11 14 8 0.13 0.185 0.199 11.25 14;
12 11 8 14 0.7 1.08 1.22 11.25 14;
9 14 10 12 0.123 0.145 0.169 11.25 14;
9 10 14 12 0.265 0.281 0.311 11.25 14;
9 14 10 12 0.168 0.175 0.182 11.25 14;
